mother,stepdaughter,category_for_map,,name,city,link,country,address,Latitude,Longitude
Елладська православна церква,Hellas Orthodox Church,Hellas Orthodox Church,Німецька єпархія РПЦЗ,Parish in honor of the holy martyr Clement Pope of Rome,Орхус,https://rocor.de/,Denmark,"Åby Kirkevej 1,
8230 Aarhus",56.14562590000001,10.1624436
Елладська православна церква,Hellas Orthodox Church,Hellas Orthodox Church,,Church in honor of Seraphim of Sarovsky in Thessaloniki,Салоніки,https://www.seraphim.gr/,Greece,"Iasonidou 2, Thessaloniki 564 29",40.6866014,22.9291639
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of Queen Tamara of Georgia,Aachen,www.rokmp.de,Germany,"Schuetzenstrasse 13, 52062 Aachen",50.7716564,6.0913808
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Parish of St. Machar of Aberdeen in Aberdeen,Aberdeen,http://www.sourozh.org/,Great Britain,"College Bounds, Old Aberdeen, AB24 3EE",57.1639872,-2.1020223
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Community in honor of Saint Nicholas the Wonderworker,Alessandria,http://ortodossia.org/,Italy,Via Solero (AL) — Via Ugo Ghisiglieri — chiesa San Michele,44.9188318,8.5109952
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Іспано-Португальська єпархія,Parish in honor of the Iver Icon of the Mother of God,Alicante,http://orthodoxspain.com,Spain,"Carrer Dr. Sapena, 39, 03013 Alacant, Alicante",38.3543155,-0.4765982
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Великобританська і Західно-Європейська єпархія РПЦЗ,Parish Rev. Simeon the New Theologian and St. Innocent of Moskovsky,Alicante,https://orthodox-europe.org,Spain,"Calle Tato, 6
03005 Alicante",38.34638899999999,-0.4959453999999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Іспано-Португальська єпархія,Church in honor of Archangel Michael,Altea,http://orthodoxspain.com,Spain,"Calle Noraу, 1 Altea Alicante 03590",38.6305806,-0.0446062
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Community at the Advent of the Lord's Resurrection (Munich),Altötting,www.rokmp.de,Germany,"Ostpreussenstrasse 2, 84503 Altötting",48.21751339999999,12.6734206
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Німецька єпархія РПЦЗ,Russian Orthodox community of St. Rev. Grand Duchess Elizabeth,Alzey,https://rocor.de/,Germany,"Kirchenplatz 7,
55232 Alzey",49.743998,8.1125963
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Гаазька і Нідерландська єпархія,Parish of St. Cornelius the Centurion,Amersfoort,www.russian-diocese.nl,Netherlands,"Matthias Withoosstraat 34, 3812 ST Amersfoort",52.157831,5.3730842
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Гаазька і Нідерландська єпархія,The parish of Reverend Serhii Radonezhsky,Amsterdam,www.russian-diocese.nl,Netherlands,"Krom Boomssloot 22, 1011 GW Amsterdam",52.37169650000001,4.9021463
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Великобританська і Західно-Європейська єпархія РПЦЗ,Church of Rev. Mary of Egypt,Амстердам,https://orthodox-europe.org,Netherlands,"Oosteinclweg 394
NL-1432 BG Aalsmeer, Holland",52.2846988,4.7991329
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Корсунська єпархія,Community in honor of the Beheading of John the Baptist in Amiens,Amiens,https://cerkov-ru.com/,France,"France, 30 Place Notre Dame 80000 Amiens",49.8945915,2.3021338
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Community in honor of the Pochaiv Icon of the Mother of God,Ancona,http://ortodossia.org/,Italy,"via Valleniano 70, Ancona",43.6158299,13.518915
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Великобританська і Західно-Європейська єпархія РПЦЗ,Community of All Saints,Annecy,https://orthodox-europe.org,France,"2, place Notre Dame F-74000 Annecy, France",45.8999371,6.1255736
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Брюсельсько-Бельгійська єпархія,Church of the Nativity of Christ,Антверпен,https://www.archiepiskopia.be/,Belgium,"Loosplaats 2 (St.-Jozefkerk), B-2018 Antwerpen",51.2096902,4.4184614
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,,Temple in honor of the Sumel Icon of the Mother of God in Athens,Афіни,https://www.psa.org.gr/,Greece,"El. Venizelou 73, Acharnes 136 74",38.097308,23.728651
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Community in honor of the Annunciation of the Holy Mother of God,Б'єлла,http://ortodossia.org/,Italy,"via Mazzini 26/a , Biella
chiesa instituto Lasana",45.5635425,8.053171299999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of the Holy and Life-giving Cross of the Lord,Бад-Кройцнах,www.rokmp.de,Germany,"Holbeinstr.108, 55543 Bad Kreuznach (St. Franziskus Kirche)",49.84023819999999,7.884063699999999
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of the Transfiguration of the Lord and St. Spyridon of Trimifuntsky,Баден-Баден,www.rokmp.de,Germany,"Königsberger Str. 16a, 76532 Baden-Baden",48.7805227,8.1892666
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,Diocesan Community of Basildon,Базілдон,http://www.sourozh.org/,Great Britain,"St Nicholas Church Church Hill, Basildon, Essex, SS15 5RX",51.5791587,0.4356882
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish in the name of the holy apostles,Байройт,www.rokmp.de,Germany,"Leuschnerstrasse 80, 95447 Bayreuth",49.9332655,11.5661124
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,The community of St. Sebastian of Karaganda,Бамберг,www.rokmp.de,Germany,"Hauptstrasse, 30, 96049 Gaustadt (Katholische Kapelle St. Sebastian)",49.9048113,10.8561007
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Іспано-Португальська єпархія,Church of the Annunciation of the Holy Mother of God,Барселона,http://orthodoxspain.com,Spain,"Carrer de la Mare de Déu dels Reis,12",41.4131109,2.145474
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Сурозька єпархія,St. Finian's Parish of Clonar in Belfast,Белфаст,http://www.sourozh.org/,Great Britain,"105 High St, Belfast, BT1 2AG, UK",54.5999382,-5.924929
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Адміністрація парафій МП в Італії,Parish in honor of the Vladimir Icon of the Mother of God,Бергамо,http://ortodossia.org/,Italy,piazza Sant’Anna 1,38.1151024,13.3648335
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Cathedral of the Resurrection of Christ,Берлін,www.rokmp.de,Germany,"Hohenzollerndamm 166, 10713 Berlin",52.4880612,13.307816
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Church of St. Serhiy Radonezhsky,Берлін,www.rokmp.de,Germany,"Wildensteinesstrasse 10, 10318 Berlin",52.4799894,13.5229071
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Temple of the Equal-to-the-apostles Prince Volodymyr in the Martsan-Hellersdorf district of Berlin,Берлін,www.rokmp.de,Germany,"Allee der Kosmonauten 184-188, 12685 Berlin-Marzahn",52.5400309,13.5624759
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Temple of the equal-to-the-aposltes Konstantin and Elena,Берлін,www.rokmp.de,Germany,"Wittestrasse 37, 13509 Berlin-Tegel",52.57817,13.3015641
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Parish of St. Isidore of Rostov,Берлін,www.rokmp.de,Germany,"Alt Lankwitz 43, 12247 Berlin",52.4381937,13.3570017
Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Moscow Patriarchy of the Russian Orthodox Church,Берлінсько-Німецька єпархія,Community in Spandau,Берлін,www.rokmp.de,Germany,"Melanchtonplatz 1, 13595 Berlin",52.52129610000001,13.1888328
