entity_type,name_ukr,name_local,name_eng,common_abbreviation,country,collaboration_type,domain,russian_money,observer_border_violation,prorussian_statements,wiki_or_website,photo_link,regrets,short_description,description
людина,Альдо Каркачі,Aldo Carcaci,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/carcaci-aldo.html,https://rian.com.ua/russia/20160724/1013674620.html,https://fr.wikipedia.org/wiki/Aldo_Carcaci,,,екс-член парламенту Бельгії,
людина,Андре Шорохофф,André Schorochoff ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://www.facebook.com/schorochoff.andre,,,підписант листа на підтримку Путіна в 2014 році,
людина,Аркадій Аріанофф,Аркадий Арианофф,Arkady Arianoff,,Бельгія,прагматик,бізнес,,,,https://www.facebook.com/arkady.arianoff,,,генеральний менеджер Бельгійсько-Люксембурзької Торгової Палати по Росії та Білорусі,
організація,"Бельгійська російськомовна Асоціація ""Гармонія""",Бельгийская русскоязычная Ассоциация Гармония,"Belgian Russian-speaking Association ""Harmony""",,Бельгія,любителі,культура,,,,http://www.airbeharmonie.be/,,,освітня організація,
людина,Володимир Козирефф,Vladimir Kozyreff ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://prabook.com/web/vladimir_nikolaevitch.kozyreff/3435126,,,підписант листа на підтримку Путіна в 2014 році,
людина,Герольф Аннеманс,Gerolf Annemans,,,Бельгія,політик,політика,,,,https://nl.wikipedia.org/wiki/Gerolf_Annemans,,,член Європарламенту,
людина,Гюнтер Гублом,Gunter Gaublomme,,,Бельгія,прагматик,експерт,https://gorchakovfund.ru/portal/news/view/8584d6b6-d548-442d-99fd-4cfa352800c9,,,https://brusselsdiplomaticacademy.eu/academics/gunter-gaublomme/,,,директор Брюссельської дипломатичної академії,
людина,Дені Дюкарм,Denis Ducarme,,,Бельгія,політик,політика,http://www.polukr.net/blog/2016/07/polscy-senatorowie-separatyzm-w-odessie-wszystkie-drogi-prowadza-moskwy/,http://ukranews.com/news/392018-nablyudately-yz-zapadnoy-evropy-razoblachyly-schemu-skupky-golosov-v-polzu-fylatova-na-vyborakh-mehra-dnepropetrovska-smy,,https://nl.wikipedia.org/wiki/Denis_Ducarme,,,член парламенту Бельгії,
людина,Джеймс Вілсон,,James Wilson,,Бельгія,прагматик,медіа,https://www.politico.eu/article/brussels-lobbying-connections-transparency/,,https://www.eupoliticalreport.eu/the-impact-of-russias-invasion-of-ukraine-on-world-food-security/,https://www.linkedin.com/in/james-wilson-614339a8/,,1,"колишній керівник Kyiv Brussels Network, видавець EU Report",
людина,Джована Майсторович,Giovanna Maistorovic,,,Бельгія,любителі,громадська,https://gorchakovfund.com/news/view/fond-gorchakova-vystupil-partnerom-startovavshego-bryusselskogo-dialoga/,,,https://ruscentre.be/forums/dzhovana-maistorovich.html,,,член Правління Європейського молодіжного форуму,
людина,Дімітрі Дарден Мак,Dimitri Dourdine Mak,,,Бельгія,любителі,громадська,,,https://myrotvorets.center/criminal/durdin-mak-dmitrij/,https://dourdine-mak.be/,,,"лікар-педіатр, підписант декларації аристократів-емігрантів на підтримку Путіна у 2014",
людина,Дмитро Посилкін,Dmitri Possylkine,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписант листа на підтримку Путіна в 2014 році,
людина,Дріс Ван Лангенхов,Dries Van Langenhove,,,Бельгія,політик,політика,,,https://www.standaard.be/cnt/dmf20220924_94508495,https://nl.wikipedia.org/wiki/Dries_Van_Langenhove,,,член парламенту Бельгії,
організація,Євразійська рада за демократію та вибори,Евразийский совет за демократию и выборы,Eurasian Observatory for Democracy and Elections,EODE,Бельгія,прагматик,експерт,,http://www.eode.org/eode-press-office-referendumov-v-respublike-krim-i/,,http://www.eode.org/category/about-eode/,,,російський проект псевдоспостерігачів на виборах,
людина,Жан-П'єр Вандерсміссен,Jean-Pierre Vandersmissen,Jean-Pierre Vandersmissen,,Бельгія,політик,політика,,https://khpg.org/en/1458089893,,https://en.wikipedia.org/wiki/Eurasian_Observatory_for_Democracy_and_Elections,,,співзасновник Євразійської обсерваторії за демократію і вибори,
людина,Жорж Делонгвіль,Georges Delongueville,,,Бельгія,прагматик,експерт,https://myrotvorets.news/rapoportleaks-khto-v-yevropi-ta-ssha-bere-uchas/,,,https://myrotvorets.center/criminal/delongevil-zhorzh/,,,експерт ЄЦГА,
людина,Іван Крилофф,Ivan Kriloff,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписант листа на підтримку Путіна в 2014 році,
людина,Ірина Пален,Irina Pahlen ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписант листа на підтримку Путіна в 2014 році,
людина,Йохан Декмін,Johan Deckmyn,,,Бельгія,політик,політика,https://myrotvorets.news/kremlivska-ahentura-u-krainakh-yevrop/,https://www.tango-noir.com/2019/02/27/ukraine-fecklessly-irritates-osce-but-fails-to-identify-genuine-security-threats-related-to-election-observation/,,https://nl.wikipedia.org/wiki/Johan_Deckmyn,,,член парламенту Бельгії,
людина,Карл ван ден Брук,Karl van den Broeck,,,Бельгія,прагматик,медіа,https://ruscentre.be/forums/karl-van-den-bruk.html,,,https://nl.wikipedia.org/wiki/Karl_van_den_Broeck,,,головний редактор Apache.be,
людина,Кріс Роман,Kris Roman,,,Бельгія,політик,політика,https://news.liga.net/politics/news/rossiyane-hotyat-privezti-na-psevdoreferendumy-nablyudateley-iz-es-gur-opublikovalo-spisok,https://www.fakeobservers.org/biased-observation-database/details/roman-kris.html,https://radiokp.ru/people/kris-roman,https://www.hetobservatorium.be/2022/02/27/kris-roman-een-21ste-eeuwse-pro-russische-cyriel-verschaeve/,,,"колишній член ультраправого Фламандського блок, засновник маргінального аналітичного центру «Євро-Русь»",
людина,Крістіан Веругстрат,Christian Verougstraete,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/verougstraete-christian.html,,https://nl.wikipedia.org/wiki/Christian_Verougstraete,,,екс-член парламенту Бельгії,
людина,Ліна Ашур,Lina Achour,,,Бельгія,любителі,громадська,https://ruscentre.be/forums/lina-ashur.html,,,https://ruscentre.be/forums/lina-ashur.html,,,молодіжний делегат ООН від Бельгії,
людина,Люк Мішель,Luc Michel,,,Бельгія,політик,політика,,https://khpg.org/en/1458089893,http://www.lucmichel.net/2014/08/31/pcn-spo-%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D0%BD%D0%BE%D0%B2%D0%BE%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F-%D1%83%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0-%D0%B2%D1%81%D1%82%D1%80%D0%B5%D1%87%D0%B0/,https://en.wikipedia.org/wiki/Luc_Michel,,,лідер та засновник Parti Communautaire National-Européen (PCN),
людина,Марат Тертеров,Marat Terterov,,,Бельгія,політик,політика,https://ru.valdaiclub.com/about/experts/5130/,,,https://www.brusselsenergyclub.org/brec-alumni/marat-terterov,,,засновник та директор Брюссельського енергетичного клубу,
людина,Маргеріт А. Пітерс,Marguerite A. Peeters,,,Бельгія,любителі,експерт,,,,https://www.worldsecuritynetwork.com/author_bio/Peeters-Marguerite,,,"професор, директор Інституту динаміки міжкультурного діалогу",
людина,Марина Толста,Marina Tolstoy ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://www.linkedin.com/in/marina-tolstoy-7a63266/?originalSubdomain=be,,,підписант листа на підтримку Путіна в 2014 році,
людина,Марк Ботенга,Marc Botenga,,,Бельгія,політик,політика,,,https://www.ftm.eu/articles/putins-useful-idiots-in-the-european-parliament,https://fr.wikipedia.org/wiki/Marc_Botenga,,,член Європарламенту,
людина,Мішель Модрікамен,Mischaël Modrikamen,,,Бельгія,політик,політика,,,https://medor.coop/magazines/medor-10-spring-2018/quand-la-flandre-tourne-cosaque/?full=1,https://fr.wikipedia.org/wiki/Mischa%C3%ABl_Modrikamen,,,лідер Народної партії ,
організація,Народна партія,Parti populaire,People's party,,Бельгія,політик,політика,,,https://www.slate.fr/story/129209/europe-poutine,https://fr.wikipedia.org/wiki/Parti_populaire_(Belgique),,,права партія,
людина,Ніколас і Гіслайн Бєлявські,Nicolas et Ghislaine Bieliavsky,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписанти листа на підтримку Путіна в 2014 році,
людина,Олександр Друцький Соколинський,Александр Друцкой Соколинский,Alexander Drutskoy Sokolinsky,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://www.wikidata.org/wiki/Q75482037,,,підписант листа на підтримку Путіна в 2014 році,
людина,Олів'є ван дер Вілт,Olivier Van der Wilt,,,Бельгія,любителі,експерт,https://www.rushouse.be/brussels-dialogue-2020,,,https://ruscentre.be/forums/olive-van-der-vilt.html,,,"експерт Інституту військової спадщини Королівського музею збройних сил та військової історії, Національний меморіал Брендонкського форту",
людина,Павло Саф'янников,Paul Safiannikoff,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписант листа на підтримку Путіна в 2014 році,
організація,Партія Європейського національного співтовариства,Parti Communautaire National-Européen,European National Community Party,PCN,Бельгія,політик,політика,,,http://www.ukrweekly.com/uwwp/with-trump-on-his-side-putin-admits-russia-staged-the-crimean-referendum/,https://fr.wikipedia.org/wiki/Parti_communautaire_national-europ%C3%A9en,,,права партія,
організація,Партія праці,Partij van de Arbeid van België,Worker's Party of Belgium,,Бельгія,політик,політика,,,https://www.demorgen.be/nieuws/van-pvda-tot-vlaams-belang-de-bondgenoten-van-poetin-in-het-parlement-wat-hebben-die-extremen-toch-met-rusland~b6743dad/,https://nl.wikipedia.org/wiki/Partij_van_de_Arbeid_van_Belgi%C3%AB,,,ліва партія,
людина,Пега Мулана,Pegah Moulana,,,Бельгія,політик,політика,http://youthrussia.ru/en/news/interview-with-pegah-moulana-the-chairperson-of-programming-committee-on-youth-at-council-of-europe,,,https://www.coe.int/en/web/world-forum-democracy/speakers-2021/-/asset_publisher/JTQ3V5aITSo7/content/moulana-pegah?inheritRedirect=false,,,член Консультативної ради у справах молоді Ради Європи,
організація,Робітнича партія Бельгії,Parti du travail de Belgique,Labour Party of Belgium,,Бельгія,політик,політика,,,https://www.moustique.be/actu/belgique/2022/03/07/le-ptb-est-il-pro-russe-vladimir-poutine-nest-pas-un-exemple-politique-230114,https://fr.wikipedia.org/wiki/Parti_du_travail_de_Belgique,,,ліва партія,
організація,Російський центр (Центр російської мови та культури) Університет Мону,Русский центр (Центр русского языка и культуры) Университета Мона,Russian center (Center of Russian language and culture) of The University Of Mons,,Бельгія,росіяни,громадська,,,,https://centrerusseru.umons.ac.be/,,,російська освітньо-культурна організація,
організація,Російський центр науки і культури (Російський дім) у Брюсселі,Русский центр науки и культуры (Русский дом) в Брюсселе,Russian Center for Science and Culture (Russian House) in Brussels,,Бельгія,росіяни,громадська,,,,https://ru.rushouse.be/about,,,представництво Россотруднічества,
організація,Творче об'єднання «Culture Connection»,Творческое объединение «Culture Connection»,Culture Connection Creative Union,,Бельгія,росіяни,культура,,,,http://cultureconnection.be/,,,"агентство, яке привозить російських артистів в Бельгію",
людина,Том Ван Грікен,Tom van Grieken,,,Бельгія,політик,політика,,,https://eaworldview.com/2022/03/europe-rightwing-populist-parties-ukraine/,https://fr.wikipedia.org/wiki/Tom_Van_Grieken,,1,лідер Vlaams Belang,
людина,Тьерри Монфорти,Thierry Monforti,,,Бельгія,любителі,освіта,https://gorchakovfund.ru/portal/news/view/8584d6b6-d548-442d-99fd-4cfa352800c9,,,https://ruscentre.be/forums/terri-monforti.html,,,директор академічної служби та приймальної комісії Коледжу Європи,
людина,Фабріс Боур,Fabrice Beaur,,,Бельгія,політик,політика,,http://anton-shekhovtsov.blogspot.com/2014/11/fake-monitors-observe-fake-elections-in.html,,https://myrotvorets.center/criminal/beor-fabris/,,,"проросійський журналіст, веде телеграм канал https://t.me/russosphere",
людина,Филипп Кревьо,Philippe Crévieaux ,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,https://myrotvorets.center/criminal/krevo-filipp/,,,підписант листа на підтримку Путіна в 2014 році,
людина,Філіп Девінтер,Philip Michel Frans (Filip) Dewinter,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/dewinter-philip.html,https://medor.coop/magazines/medor-10-spring-2018/quand-la-flandre-tourne-cosaque/?full=1,https://nl.wikipedia.org/wiki/Filip_Dewinter,,,перший віце-президент парламенту Бельгії,
людина,Філіп Шансе Уілмот,Philippe Chansay Wilmotte,,,Бельгія,прагматик,громадська,,https://www.fakeobservers.org/biased-observation-database/details/chansay-wilmotte-philippe.html,,,,,"адвокат Брюссельської колегії адвокатів, голова ультраправого «Колективу Святого Архангела Михаїла»",
організація,Фламандський інтерес,Vlaams Belang,Flemish Interest ,,Бельгія,політик,політика,,,https://www.lesoir.be/428301/article/2022-03-06/le-vlaams-belang-oblige-de-pratiquer-la-nuance,https://en.wikipedia.org/wiki/Vlaams_Belang,,,права партія,
людина,Франсін Меструм,Francine S. R. Mestrum,,,Бельгія,любителі,громадська,https://ru.valdaiclub.com/about/experts/4140/,,https://www.meer.com/en/69420-lessons-from-the-war-in-ukraine,https://www.meer.com/en/authors/980-francine-s-r-dot-mestrum,,,"президент ГО «Глобальна соціальна справедливість», член Ради директорів CETRI (Centre Tricontinental)",
людина,Фрейзер Кемерон,Fraser Cameron,,,Бельгія,прагматик,експерт,https://ru.valdaiclub.com/about/experts/15760/,,https://inosmi.ru/author_frasercameron/,https://eu.boell.org/en/person/fraser-cameron,,,"директор Центру ЄС – Азія, старший радник Центру європейської політики в Брюсселі.",
людина,Френк Крейелман,Frank Creyelman,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/creyelman-frank.html,,https://nl.wikipedia.org/wiki/Frank_Creyelman,,,бельгійський фламандський політик-націоналіст ,
людина,Юлія Філатова,Julia Filatova,,,Бельгія,любителі,громадська,,,https://rusoch.fr/ru/events/solidarnost-s-rossiej-v-chas-ukrainskoj-tragedii.html,,,,підписант листа на підтримку Путіна в 2014 році,
людина,Ян Ванхи,Jan Vanhee,,,Бельгія,політик,політика,https://ruscentre.be/forums/jan-vanhee.html,,,https://www.coe.int/en/web/youth/ql-expert-team/-/asset_publisher/2JjblgzjWt67/content/jan-vanhee?_101_INSTANCE_2JjblgzjWt67_viewMode=view/,,,аташе з питань європейської та міжнародної молодіжної політики Постійного Представництва Бельгії при ЄС,
людина,Ян Пенріс,Jan Penris,,,Бельгія,політик,політика,,https://www.fakeobservers.org/biased-observation-database/details/penris-jan.html,,https://nl.wikipedia.org/wiki/Jan_Penris,,,муніципальний радник Антверпена,
людина,Яніна Козарі,Ianina Cosari,,,Бельгія,росіяни,медіа,,,http://eawfpress.ru/press-tsentr/news/kult/yanina-kozari-o-russkom-mire-v-belgii/,,,,"прес-аташе ""Пушкін Інституту"" у Бельгії, член ради директорів Brussels Press Club",
людина,,Аурика Ушкова,Aurika Ushkova,,Бельгія,росіяни,культура,,,https://south-ossetia.info/kredo-sootechestvennikov-vmeste-s-rossiej/,https://russkiymir.ru/catalogue/company_view.php?id=4602,,,голова Бельгійської російськомовної асоціації «Гармонія»,
організація,,Бельгийская ассоциация преподавателей русского языка и литературы,Belgian Association of Teachers of Russian Language and Literature,БАПРЯЛ,Бельгія,росіяни,культура,,,,https://russkiymir.ru/catalogue/company_view.php?id=1222,,,громадська організація росіян,
організація,,Бельгийская федерация русскоязычных организаций,Belgian Federation of Russian Speaking Organizations,БФРО,Бельгія,росіяни,громадська,,,,https://www.bfro.be/ru/federatciya/,,,громадська організація росіян,
